AM01098	NULL
AM01100	NULL
AM01119	NULL
AM01150	NULL
AM01165	NULL
AM01191	NULL
AM01195	NULL
AM01233	NULL
AM01566	NULL
AM01638	NULL
AM01674	NULL
AM01734	NULL
AM01820	NULL
AM01824	NULL
AM01960	NULL
AM01998	NULL
AM02011	NULL
AM02031	NULL
AM02174	NULL
AM02216	NULL
AM02239	NULL
AM02262	NULL
AM02375	NULL
AM02489	NULL
AM02672	GB10044
AM02688	GB10060
AM02728	GB10100
AM02757	GB10294
AM02788	GB10160
AM02815	GB10188
AM02819	GB10192
AM02823	GB10196
AM02836	GB10209
AM02855	GB10228
AM02960	GB30474
AM02964	GB10334
AM02969	GB10339
AM02996	GB10367
AM03039	GB10411
AM03056	GB10428
AM03083	GB10455
AM03091	GB10464
AM03116	GB10489
AM03143	GB10516
AM03238	GB10611
AM03288	GB10661
AM03302	GB10676
AM03320	GB10695
AM03333	GB10708
AM03362	GB10737
AM03364	GB10739
AM03396	GB10771
AM03535	GB10910
AM03542	GB10917
AM03615	GB10992
AM03652	GB11028
AM03863	GB11240
AM03921	GB11298
AM04008	GB11385
AM04138	GB30227
AM04170	GB11550
AM04227	GB11607
AM04233	GB11613
AM04301	GB11681
AM04372	GB11753
AM04420	GB11801
AM04472	GB11853
AM04494	GB11876
AM04650	GB12033
AM04704	GB12087
AM04706	GB12089
AM04780	GB12159
AM04830	GB12210
AM04856	GB12236
AM04938	GB30494
AM04946	GB12327
AM04971	GB12353
AM05002	GB12384
AM05112	GB12495
AM05114	GB12497
AM05144	GB12528
AM05178	GB12562
AM05213	GB12597
AM05221	GB12605
AM05259	GB12643
AM05336	GB12721
AM05367	GB12752
AM05410	GB12795
AM05415	GB12800
AM05426	GB12811
AM05599	GB12988
AM05667	GB13058
AM05769	GB13160
AM05784	GB13175
AM05788	GB30293
AM05823	GB13215
AM05839	GB13231
AM05892	GB13285
AM05975	GB13372
AM05992	GB13389
AM06004	GB13401
AM06107	GB13505
AM06160	GB13559
AM06187	GB13587
AM06214	GB13615
AM06218	GB13619
AM06271	GB13673
AM06332	GB13734
AM06369	GB13770
AM06387	GB13788
AM06390	GB13791
AM06501R	GB13903
AM06519	GB13921
AM06522	GB13924
AM06528	GB13930
AM06565	GB13967
AM06580	GB13982
AM06591	GB13993
AM06597	GB13999
AM06642	GB14043
AM06846	GB14247
AM06884	GB14284
AM06914	GB14314
AM06966	GB14368
AM07015	GB14417
AM07033	GB14435
AM07052	GB14454
AM07079	GB14481
AM07236	GB14639
AM07254	GB14657
AM07306	GB14709
AM07337	GB14740
AM07393	GB14798
AM07464	GB14870
AM07491	GB14897
AM07499	GB14907
AM07609	GB15018
AM07629	GB15038
AM07635	GB15044
AM07640	GB15049
AM07643	GB15052
AM07744	GB15154
AM07753	GB15163
AM07824	GB15235
AM07864	GB15275
AM07915	GB15327
AM07977	GB15389
AM08025	GB15438
AM08027	GB15440
AM08040	GB15453
AM08072	GB15487
AM08102	GB15517
AM08134	GB15549
AM08255	GB15672
AM08274	GB15691
AM08279	GB15696
AM08347	GB15765
AM08367	GB15785
AM08372	GB15790
AM08416	GB15834
AM08451	GB15869
AM08497	GB15916
AM08527	GB15946
AM08597	GB16016
AM08612	GB16031
AM08661	GB16080
AM08691	GB16111
AM08709	GB16129
AM08726	GB16147
AM08779	GB16202
AM08934	GB16354
AM08936	GB16356
AM08971	GB16390
AM08980	GB16399
AM09027	GB16448
AM09042	GB16463
AM09086	GB16507
AM09132	GB16552
AM09148	GB16568
AM09177	GB16599
AM09197	GB16619
AM09228	GB16650
AM09263	GB16684
AM09273	GB16694
AM09289	GB16710
AM09325	GB16747
AM09383	GB16806
AM09386	GB16809
AM09404	GB16826
AM09459	GB16882
AM09461	GB16884
AM09473	GB16896
AM09504	GB16927
AM09693	GB17118
AM09733	GB17158
AM09795	GB17220
AM09906	GB17331
AM10009	GB17437
AM10016	GB17444
AM10045	GB17474
AM10109	GB17538
AM10188	GB17614
AM10255	GB17681
AM10402	GB17831
AM10411	GB17840
AM10500	GB17927
AM10532	GB17959
AM10565	GB17992
AM10631	GB18059
AM10651	GB18081
AM10708	GB18140
AM10729	GB18161
AM10740	GB18172
AM10820	GB18255
AM10833	GB18268
AM10866	GB18301
AM10978	GB18415
AM11004	GB18441
AM11034	GB18472
AM11038	GB18476
AM11051	GB18489
AM11056	GB18494
AM11223	GB18662
AM11244	GB18683
AM11288	GB18727
AM11293	GB30378
AM11298	GB18737
AM11421	GB18864
AM11431	GB18874
AM11448	GB18891
AM11522	GB18966
AM11549	GB18993
AM11640	GB19085
AM11661	GB19107
AM11723	GB19169
AM11795	GB19241
AM11918	GB19365
AM11957	GB19405
AM11965	GB19413
AM11974	GB19422
AM11985	GB19433
AM11987	GB19435
AM12005	GB30242
AM12011	GB19460
AM12012	GB19460
AM12021	GB30413
AM12037	GB19485
AM12135	GB19582
AM12193	GB19642
AM12218	GB19670
AM12248	GB19701
AM12257	GB19710
AM12289	GB19742
AM12330	GB19783
AM12344	GB19797
AM12351	GB19804
AM12367	GB19820
AM12379	GB19832
AM12384	GB19837
AM12393	GB19846
AM12397	GB19850
AM12420	GB19873
AM12482	GB19935
AM12535	GB19988
AM12547	GB20000
AM12549	GB20002
AM12664	GB20117
AM12697	GB20152
AM12714	GB30312
AM12743	GB30162
AM12762	GB30366
AM12799	GB14751
AM12841	NULL
AM12844	NULL
AM12845R	NULL
AM12850	NULL
AM12864	NULL
AM12866	NULL
AM12878	NULL
AM12887R	NULL
AM12902	NULL
AM00021	NULL
AM00021R	NULL
AM00083R	NULL
AM00122	NULL
AM00128	NULL
AM00177	GB14045
AM00220	GB16279
AM00328	GB30336
AM00342	GB30200
AM00346	GB20042
AM00351	GB13473
AM00352	GB13473
AM00353	GB13473
AM00354	GB17782
AM00355	GB17782
AM00356	GB17782
AM00357	GB17782
AM00359	NULL
AM00365	NULL
AM00408	NULL
AM00439	NULL
AM00452	NULL
AM00455	NULL
AM00477	NULL
AM00478	NULL
AM00495	NULL
AM00547R	NULL
AM00552	NULL
AM00553R	NULL
AM00561	NULL
AM00603	NULL
AM00610	NULL
AM00615	NULL
AM00634	NULL
AM00662	NULL
AM00677	NULL
AM00681	NULL
AM00716	NULL
AM00717	NULL
AM00717R	NULL
AM00757	GB12929
AM00795	NULL
AM00845	NULL
AM00977	NULL
AM01016	NULL
AM01017R	NULL
AM01036	NULL
AM01069	NULL
AM01073	NULL
AM01077	NULL
AM01101	NULL
AM01117	NULL
AM01127	NULL
AM01217	NULL
AM01228	NULL
AM01236	NULL
AM01252	NULL
AM01255	NULL
AM01273	GB17541
AM01286	NULL
AM01304	NULL
AM01312	NULL
AM01370	NULL
AM01383	NULL
AM01428	NULL
AM01464	NULL
AM01506	NULL
AM01510	NULL
AM01525	NULL
AM01544	NULL
AM01568	NULL
AM01573	NULL
AM01593	NULL
AM01614	NULL
AM01619	NULL
AM01637	NULL
AM01641	NULL
AM01658	NULL
AM01668	NULL
AM01678	NULL
AM01720	NULL
AM01736	NULL
AM01758	NULL
AM01760	NULL
AM01779	NULL
AM01794	NULL
AM01802	NULL
AM01805	NULL
AM01840	NULL
AM01865	NULL
AM01904	NULL
AM01915	NULL
AM01917	NULL
AM01924	NULL
AM02032	NULL
AM02138	NULL
AM02181	NULL
AM02189	NULL
AM02247	NULL
